"","","","*Unraised","HarmonizeBack","HarmonizeFront"
"","","","*Unraised","HarmonizeBack","HarmonizeFront"
"a'ile","a'ile-F","0","1","0.0054993535697576",""
"","a'ile-B","0","1","","0.994500646430242"
"","a'ile-RAISE-F","2898","","0.0054993535697576",""
"","a'ile-RAISE-B","0","","","0.994500646430242"
"abdal","abdal-F","0","1","0.977830054934023",""
"","abdal-B","0","1","","0.0221699450659766"
"","abdal-RAISE-F","0","","0.977830054934023",""
"","abdal-RAISE-B","1","","","0.0221699450659766"
"abdulla","abdulla-F","0","1","0.998403985402363",""
"","abdulla-B","0","1","","0.00159601459763714"
"","abdulla-RAISE-F","0","","0.998403985402363",""
"","abdulla-RAISE-B","2","","","0.00159601459763714"
"abide","abide-F","0","1","0.0225474772717704",""
"","abide-B","0","1","","0.97745252272823"
"","abide-RAISE-F","79","","0.0225474772717704",""
"","abide-RAISE-B","0","","","0.97745252272823"
"abzas","abzas-F","0","1","0.990300625484566",""
"","abzas-B","0","1","","0.00969937451543412"
"","abzas-RAISE-F","0","","0.990300625484566",""
"","abzas-RAISE-B","1","","","0.00969937451543412"
"acha","acha-F","0","1","0.993291162278102",""
"","acha-B","0","1","","0.00670883772189756"
"","acha-RAISE-F","0","","0.993291162278102",""
"","acha-RAISE-B","7","","","0.00670883772189756"
"achal","achal-F","0","1","0.986482216656661",""
"","achal-B","0","1","","0.0135177833433386"
"","achal-RAISE-F","0","","0.986482216656661",""
"","achal-RAISE-B","3","","","0.0135177833433386"
"achquche","achquche-F","0","1","0.247734351579837",""
"","achquche-B","0","1","","0.752265648420164"
"","achquche-RAISE-F","2","","0.247734351579837",""
"","achquche-RAISE-B","21","","","0.752265648420164"
"adalet","adalet-F","0","1","0.0016331111990269",""
"","adalet-B","0","1","","0.998366888800973"
"","adalet-RAISE-F","16","","0.0016331111990269",""
"","adalet-RAISE-B","0","","","0.998366888800973"
"adawet","adawet-F","0","1","0.00732718247114056",""
"","adawet-B","0","1","","0.992672817528859"
"","adawet-RAISE-F","1","","0.00732718247114056",""
"","adawet-RAISE-B","0","","","0.992672817528859"
"addiylash","addiylash-F","0","1","0.945450437639349",""
"","addiylash-B","0","1","","0.0545495623606506"
"","addiylash-RAISE-F","0","","0.945450437639349",""
"","addiylash-RAISE-B","1","","","0.0545495623606506"
"adet","adet-F","0","1","0.00230199025325109",""
"","adet-B","0","1","","0.997698009746749"
"","adet-RAISE-F","128","","0.00230199025325109",""
"","adet-RAISE-B","1","","","0.997698009746749"
"aghriqxana","aghriqxana-F","0","1","0.997617269435331",""
"","aghriqxana-B","0","1","","0.0023827305646692"
"","aghriqxana-RAISE-F","0","","0.997617269435331",""
"","aghriqxana-RAISE-B","9","","","0.0023827305646692"
"aha","aha-F","0","1","0.940683454504718",""
"","aha-B","0","1","","0.0593165454952821"
"","aha-RAISE-F","1","","0.940683454504718",""
"","aha-RAISE-B","0","","","0.0593165454952821"
"ahale","ahale-F","0","1","0.0132135207653887",""
"","ahale-B","0","1","","0.986786479234611"
"","ahale-RAISE-F","1972","","0.0132135207653887",""
"","ahale-RAISE-B","535","","","0.986786479234611"
"ahanet","ahanet-F","0","1","0.00863643875141252",""
"","ahanet-B","0","1","","0.991363561248587"
"","ahanet-RAISE-F","4","","0.00863643875141252",""
"","ahanet-RAISE-B","0","","","0.991363561248587"
"ajizla","ajizla-F","0","1","0.965018691094842",""
"","ajizla-B","0","1","","0.034981308905158"
"","ajizla-RAISE-F","0","","0.965018691094842",""
"","ajizla-RAISE-B","9","","","0.034981308905158"
"ajizlash","ajizlash-F","0","1","0.988629736380804",""
"","ajizlash-B","0","1","","0.0113702636191956"
"","ajizlash-RAISE-F","0","","0.988629736380804",""
"","ajizlash-RAISE-B","27","","","0.0113702636191956"
"ajizlat","ajizlat-F","0","1","0.984232264548219",""
"","ajizlat-B","0","1","","0.0157677354517809"
"","ajizlat-RAISE-F","0","","0.984232264548219",""
