"Input","Output","Frequency","VAgreeSurface","VAgreeUnderlying","*Unraised","ID"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-F","0","1","","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-B","0","","1","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-F","16","","","",""
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-B","0","1","1","",""
"a'ile-RAISER","a'ile-RAISER-RAISED-F","2602","1","","","1"
"a'ile-RAISER","a'ile-RAISER-RAISED-B","0","","1","","1"
"a'ile-RAISER","a'ile-RAISER-UNRAISED-F","30","","","1",""
"a'ile-RAISER","a'ile-RAISER-UNRAISED-B","0","1","1","1",""
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-F","0","1","1","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-B","0","","","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-F","0","1","1","",""
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-B","17","","","",""
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-F","0","1","1","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-B","0","","","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-F","0","1","1","",""
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-B","2","","","",""
"abdal-RAISER","abdal-RAISER-RAISED-F","0","1","1","","1"
"abdal-RAISER","abdal-RAISER-RAISED-B","1","","","","1"
"abdal-RAISER","abdal-RAISER-UNRAISED-F","0","1","1","1",""
"abdal-RAISER","abdal-RAISER-UNRAISED-B","0","","","1",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-F","0","1","1","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-B","0","","","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-F","0","1","1","",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-B","2","","","",""
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-F","0","1","1","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-B","0","","","","1"
