"Input","Output","Frequency","HarmonicUniformity","*Unraised","ID"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-F","0","1.50699358182306e-05","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-B","0","0.999984930064182","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-F","20","1.50699358182306e-05","",""
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-B","0","0.999984930064182","",""
"a'ile-RAISER","a'ile-RAISER-RAISED-F","2635","1.50699358182306e-05","","1"
"a'ile-RAISER","a'ile-RAISER-RAISED-B","0","0.999984930064182","","1"
"a'ile-RAISER","a'ile-RAISER-UNRAISED-F","34","1.50699358182306e-05","1",""
"a'ile-RAISER","a'ile-RAISER-UNRAISED-B","0","0.999984930064182","1",""
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-F","0","0.999988126190029","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-B","0","1.18738099705862e-05","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-F","0","0.999988126190029","",""
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-B","20","1.18738099705862e-05","",""
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-F","0","0.999870343985312","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-B","0","0.000129656014687507","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-F","0","0.999870343985312","",""
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-B","3","0.000129656014687507","",""
"abdal-RAISER","abdal-RAISER-RAISED-F","0","0.999870343985312","","1"
"abdal-RAISER","abdal-RAISER-RAISED-B","1","0.000129656014687507","","1"
"abdal-RAISER","abdal-RAISER-UNRAISED-F","0","0.999870343985312","1",""
"abdal-RAISER","abdal-RAISER-UNRAISED-B","0","0.000129656014687507","1",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-F","0","0.999976592391388","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-B","0","2.34076086116364e-05","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-F","0","0.999976592391388","",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-B","3","2.34076086116364e-05","",""
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-F","0","0.999969180831925","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-B","0","3.08191680752357e-05","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-F","0","0.999969180831925","",""
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-B","6","3.08191680752357e-05","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-F","0","5.6629059609129e-05","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-B","0","0.999943370940391","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-F","6","5.6629059609129e-05","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-B","0","0.999943370940391","",""
"abdulla-NON_RAISER","abdulla-NON_RAISER-RAISED-F","0","0.976336396411176","","1"
"abdulla-NON_RAISER","abdulla-NON_RAISER-RAISED-B","0","0.0236636035888242","","1"
"abdulla-NON_RAISER","abdulla-NON_RAISER-UNRAISED-F","0","0.976336396411176","",""
"abdulla-NON_RAISER","abdulla-NON_RAISER-UNRAISED-B","2","0.0236636035888242","",""
"abdulla-RAISER","abdulla-RAISER-RAISED-F","0","0.976336396411176","","1"
"abdulla-RAISER","abdulla-RAISER-RAISED-B","2","0.0236636035888242","","1"
"abdulla-RAISER","abdulla-RAISER-UNRAISED-F","1","0.976336396411176","1",""
"abdulla-RAISER","abdulla-RAISER-UNRAISED-B","25","0.0236636035888242","1",""
"abdullah-NON_RAISER","abdullah-NON_RAISER-RAISED-F","0","0.999977464831889","","1"
"abdullah-NON_RAISER","abdullah-NON_RAISER-RAISED-B","0","2.25351681106822e-05","","1"
"abdullah-NON_RAISER","abdullah-NON_RAISER-UNRAISED-F","0","0.999977464831889","",""
"abdullah-NON_RAISER","abdullah-NON_RAISER-UNRAISED-B","4","2.25351681106822e-05","",""
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-RAISED-F","0","0.999988582428873","","1"
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-RAISED-B","0","1.14175711269926e-05","","1"
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-UNRAISED-F","0","0.999988582428873","",""
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-UNRAISED-B","7","1.14175711269926e-05","",""
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-RAISED-F","0","0.176792695974753","","1"
