"Input","Output","Frequency","VAgreeSurface","VAgreeUnderlying","HarmonicUniformity","*Unraised","ID"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-F","0","1","","0.00486159793218395","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-B","0","","1","0.995138402067816","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-F","19","","","0.00486159793218395","",""
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-B","0","1","1","0.995138402067816","",""
"a'ile-RAISER","a'ile-RAISER-RAISED-F","2603","1","","0.00486159793218395","","1"
"a'ile-RAISER","a'ile-RAISER-RAISED-B","0","","1","0.995138402067816","","1"
"a'ile-RAISER","a'ile-RAISER-UNRAISED-F","31","","","0.00486159793218395","1",""
"a'ile-RAISER","a'ile-RAISER-UNRAISED-B","0","1","1","0.995138402067816","1",""
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-F","0","1","1","0.998570034436468","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-B","0","","","0.00142996556353192","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-F","0","1","1","0.998570034436468","",""
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-B","18","","","0.00142996556353192","",""
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-F","0","1","1","0.986990404688019","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-B","0","","","0.0130095953119808","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-F","0","1","1","0.986990404688019","",""
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-B","3","","","0.0130095953119808","",""
"abdal-RAISER","abdal-RAISER-RAISED-F","0","1","1","0.986990404688019","","1"
"abdal-RAISER","abdal-RAISER-RAISED-B","1","","","0.0130095953119808","","1"
"abdal-RAISER","abdal-RAISER-UNRAISED-F","0","1","1","0.986990404688019","1",""
"abdal-RAISER","abdal-RAISER-UNRAISED-B","0","","","0.0130095953119808","1",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-F","0","1","1","0.997544434322141","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-B","0","","","0.00245556567785943","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-F","0","1","1","0.997544434322141","",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-B","1","","","0.00245556567785943","",""
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-F","0","1","1","0.996930707714843","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-B","0","","","0.00306929228515684","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-F","0","1","1","0.996930707714843","",""
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-B","6","","","0.00306929228515684","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-F","0","1","","0.00429370438670603","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-B","0","","1","0.995706295613294","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-F","7","","","0.00429370438670603","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-B","0","1","1","0.995706295613294","",""
"abdulla-RAISER","abdulla-RAISER-RAISED-F","0","1","1","0.999105659002527","","1"
"abdulla-RAISER","abdulla-RAISER-RAISED-B","1","","","0.000894340997472653","","1"
"abdulla-RAISER","abdulla-RAISER-UNRAISED-F","1","1","1","0.999105659002527","1",""
"abdulla-RAISER","abdulla-RAISER-UNRAISED-B","29","","","0.000894340997472653","1",""
"abdullah-NON_RAISER","abdullah-NON_RAISER-RAISED-F","0","1","1","0.997617018931865","","1"
"abdullah-NON_RAISER","abdullah-NON_RAISER-RAISED-B","0","","","0.00238298106813484","","1"
"abdullah-NON_RAISER","abdullah-NON_RAISER-UNRAISED-F","0","1","1","0.997617018931865","",""
"abdullah-NON_RAISER","abdullah-NON_RAISER-UNRAISED-B","3","","","0.00238298106813484","",""
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-RAISED-F","0","1","1","0.998619251347572","","1"
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-RAISED-B","0","","","0.00138074865242777","","1"
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-UNRAISED-F","0","1","1","0.998619251347572","",""
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-UNRAISED-B","4","","","0.00138074865242777","",""
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-RAISED-F","0","1","","0.00390005498847459","","1"
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-RAISED-B","0","","1","0.996099945011525","","1"
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-UNRAISED-F","3","","","0.00390005498847459","",""
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-UNRAISED-B","1","1","1","0.996099945011525","",""
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-RAISED-F","0","1","1","0.998662109717978","","1"
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-RAISED-B","0","","","0.00133789028202169","","1"
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-UNRAISED-F","3","1","1","0.998662109717978","",""
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-UNRAISED-B","12","","","0.00133789028202169","",""
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-RAISED-F","0","1","1","0.998072721621062","","1"
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-RAISED-B","0","","","0.00192727837893769","","1"
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-UNRAISED-F","0","1","1","0.998072721621062","",""
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-UNRAISED-B","4","","","0.00192727837893769","",""
"abduweli-NON_RAISER","abduweli-NON_RAISER-RAISED-F","0","1","","0.0023098742667348","","1"
"abduweli-NON_RAISER","abduweli-NON_RAISER-RAISED-B","0","","1","0.997690125733265","","1"
"abduweli-NON_RAISER","abduweli-NON_RAISER-UNRAISED-F","12","","","0.0023098742667348","",""
"abduweli-NON_RAISER","abduweli-NON_RAISER-UNRAISED-B","0","1","1","0.997690125733265","",""
"abide-RAISER","abide-RAISER-RAISED-F","72","1","","0.0209741090579985","","1"
"abide-RAISER","abide-RAISER-RAISED-B","0","","1","0.979025890942002","","1"
"abide-RAISER","abide-RAISER-UNRAISED-F","0","","","0.0209741090579985","1",""
"abide-RAISER","abide-RAISER-UNRAISED-B","0","1","1","0.979025890942002","1",""
"ablet-NON_RAISER","ablet-NON_RAISER-RAISED-F","0","1","","0.00267710188208188","","1"
"ablet-NON_RAISER","ablet-NON_RAISER-RAISED-B","0","","1","0.997322898117918","","1"
"ablet-NON_RAISER","ablet-NON_RAISER-UNRAISED-F","4","","","0.00267710188208188","",""
"ablet-NON_RAISER","ablet-NON_RAISER-UNRAISED-B","0","1","1","0.997322898117918","",""
"abont-NON_RAISER","abont-NON_RAISER-RAISED-F","0","1","1","0.995105508758989","","1"
"abont-NON_RAISER","abont-NON_RAISER-RAISED-B","0","","","0.00489449124101149","","1"
"abont-NON_RAISER","abont-NON_RAISER-UNRAISED-F","0","1","1","0.995105508758989","",""
"abont-NON_RAISER","abont-NON_RAISER-UNRAISED-B","40","","","0.00489449124101149","",""
"abroy-NON_RAISER","abroy-NON_RAISER-RAISED-F","0","1","1","0.998527862886007","","1"
"abroy-NON_RAISER","abroy-NON_RAISER-RAISED-B","0","","","0.00147213711399319","","1"
"abroy-NON_RAISER","abroy-NON_RAISER-UNRAISED-F","0","1","1","0.998527862886007","",""
"abroy-NON_RAISER","abroy-NON_RAISER-UNRAISED-B","117","","","0.00147213711399319","",""
"abruy-NON_RAISER","abruy-NON_RAISER-RAISED-F","0","1","1","0.99733345018407","","1"
"abruy-NON_RAISER","abruy-NON_RAISER-RAISED-B","0","","","0.00266654981593017","","1"
"abruy-NON_RAISER","abruy-NON_RAISER-UNRAISED-F","0","1","1","0.99733345018407","",""
"abruy-NON_RAISER","abruy-NON_RAISER-UNRAISED-B","50","","","0.00266654981593017","",""
"abzas-NON_RAISER","abzas-NON_RAISER-RAISED-F","0","1","1","0.994883171057464","","1"
"abzas-NON_RAISER","abzas-NON_RAISER-RAISED-B","0","","","0.00511682894253573","","1"
"abzas-NON_RAISER","abzas-NON_RAISER-UNRAISED-F","0","1","1","0.994883171057464","",""
"abzas-NON_RAISER","abzas-NON_RAISER-UNRAISED-B","16","","","0.00511682894253573","",""
"abzas-RAISER","abzas-RAISER-RAISED-F","0","1","1","0.994883171057464","","1"
"abzas-RAISER","abzas-RAISER-RAISED-B","1","","","0.00511682894253573","","1"
"abzas-RAISER","abzas-RAISER-UNRAISED-F","0","1","1","0.994883171057464","1",""
"abzas-RAISER","abzas-RAISER-UNRAISED-B","0","","","0.00511682894253573","1",""
"acha-NON_RAISER","acha-NON_RAISER-RAISED-F","0","1","1","0.995076012485096","","1"
"acha-NON_RAISER","acha-NON_RAISER-RAISED-B","0","","","0.00492398751490375","","1"
"acha-NON_RAISER","acha-NON_RAISER-UNRAISED-F","0","1","1","0.995076012485096","",""
"acha-NON_RAISER","acha-NON_RAISER-UNRAISED-B","3","","","0.00492398751490375","",""
"acha-RAISER","acha-RAISER-RAISED-F","0","1","1","0.995076012485096","","1"
"acha-RAISER","acha-RAISER-RAISED-B","7","","","0.00492398751490375","","1"
"acha-RAISER","acha-RAISER-UNRAISED-F","0","1","1","0.995076012485096","1",""
"acha-RAISER","acha-RAISER-UNRAISED-B","0","","","0.00492398751490375","1",""
"achal-NON_RAISER","achal-NON_RAISER-RAISED-F","0","1","1","0.992377418443386","","1"
"achal-NON_RAISER","achal-NON_RAISER-RAISED-B","0","","","0.00762258155661388","","1"
"achal-NON_RAISER","achal-NON_RAISER-UNRAISED-F","0","1","1","0.992377418443386","",""
"achal-NON_RAISER","achal-NON_RAISER-UNRAISED-B","8","","","0.00762258155661388","",""
"achal-RAISER","achal-RAISER-RAISED-F","0","1","1","0.992377418443386","","1"
"achal-RAISER","achal-RAISER-RAISED-B","3","","","0.00762258155661388","","1"
"achal-RAISER","achal-RAISER-UNRAISED-F","0","1","1","0.992377418443386","1",""
"achal-RAISER","achal-RAISER-UNRAISED-B","0","","","0.00762258155661388","1",""
"achquche-RAISER","achquche-RAISER-RAISED-F","2","1","","0.274075936091146","","1"
"achquche-RAISER","achquche-RAISER-RAISED-B","19","","1","0.725924063908854","","1"
"achquche-RAISER","achquche-RAISER-UNRAISED-F","0","","","0.274075936091146","1",""
"achquche-RAISER","achquche-RAISER-UNRAISED-B","0","1","1","0.725924063908854","1",""
"adalet-NON_RAISER","adalet-NON_RAISER-RAISED-F","0","1","","0.00139359537247542","","1"
"adalet-NON_RAISER","adalet-NON_RAISER-RAISED-B","0","","1","0.998606404627525","","1"
"adalet-NON_RAISER","adalet-NON_RAISER-UNRAISED-F","310","","","0.00139359537247542","",""
"adalet-NON_RAISER","adalet-NON_RAISER-UNRAISED-B","0","1","1","0.998606404627525","",""
"adalet-RAISER","adalet-RAISER-RAISED-F","16","1","","0.00139359537247542","","1"
"adalet-RAISER","adalet-RAISER-RAISED-B","0","","1","0.998606404627525","","1"
"adalet-RAISER","adalet-RAISER-UNRAISED-F","0","","","0.00139359537247542","1",""
"adalet-RAISER","adalet-RAISER-UNRAISED-B","0","1","1","0.998606404627525","1",""
"adaletperwer-NON_RAISER","adaletperwer-NON_RAISER-RAISED-F","0","","","0.00918592846340476","","1"
"adaletperwer-NON_RAISER","adaletperwer-NON_RAISER-RAISED-B","0","1","1","0.990814071536595","","1"
"adaletperwer-NON_RAISER","adaletperwer-NON_RAISER-UNRAISED-F","6","","","0.00918592846340476","",""
"adaletperwer-NON_RAISER","adaletperwer-NON_RAISER-UNRAISED-B","0","1","1","0.990814071536595","",""
"adaletsiz-NON_RAISER","adaletsiz-NON_RAISER-RAISED-F","0","1","","0.00419074357868055","","1"
"adaletsiz-NON_RAISER","adaletsiz-NON_RAISER-RAISED-B","0","","1","0.995809256421319","","1"
"adaletsiz-NON_RAISER","adaletsiz-NON_RAISER-UNRAISED-F","188","","","0.00419074357868055","",""
"adaletsiz-NON_RAISER","adaletsiz-NON_RAISER-UNRAISED-B","0","1","1","0.995809256421319","",""
"adash-NON_RAISER","adash-NON_RAISER-RAISED-F","0","1","1","0.978714540741445","","1"
"adash-NON_RAISER","adash-NON_RAISER-RAISED-B","0","","","0.0212854592585547","","1"
"adash-NON_RAISER","adash-NON_RAISER-UNRAISED-F","0","1","1","0.978714540741445","",""
"adash-NON_RAISER","adash-NON_RAISER-UNRAISED-B","4","","","0.0212854592585547","",""
"adawet-NON_RAISER","adawet-NON_RAISER-RAISED-F","0","1","","0.00783901781842346","","1"
"adawet-NON_RAISER","adawet-NON_RAISER-RAISED-B","0","","1","0.992160982181577","","1"
"adawet-NON_RAISER","adawet-NON_RAISER-UNRAISED-F","19","","","0.00783901781842346","",""
"adawet-NON_RAISER","adawet-NON_RAISER-UNRAISED-B","0","1","1","0.992160982181577","",""
"adawet-RAISER","adawet-RAISER-RAISED-F","1","1","","0.00783901781842346","","1"
