"Input","Output","Frequency","VAgreeSurface","VAgreeUnderlying","HarmonicUniformity","*Unraised","ID"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-F","0","1","","1.38058014926512e-05","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-B","0","","1","0.999986194198507","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-F","13","","","1.38058014926512e-05","",""
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-B","0","1","1","0.999986194198507","",""
"a'ile-RAISER","a'ile-RAISER-RAISED-F","2593","1","","1.38058014926512e-05","","1"
"a'ile-RAISER","a'ile-RAISER-RAISED-B","0","","1","0.999986194198507","","1"
"a'ile-RAISER","a'ile-RAISER-UNRAISED-F","34","","","1.38058014926512e-05","1",""
"a'ile-RAISER","a'ile-RAISER-UNRAISED-B","0","1","1","0.999986194198507","1",""
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-F","0","1","1","0.999987482236023","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-B","0","","","1.251776397726e-05","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-F","0","1","1","0.999987482236023","",""
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-B","17","","","1.251776397726e-05","",""
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-F","0","1","1","0.999871968731629","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-B","0","","","0.000128031268370576","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-F","0","1","1","0.999871968731629","",""
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-B","3","","","0.000128031268370576","",""
"abdal-RAISER","abdal-RAISER-RAISED-F","0","1","1","0.999871968731629","","1"
"abdal-RAISER","abdal-RAISER-RAISED-B","1","","","0.000128031268370576","","1"
"abdal-RAISER","abdal-RAISER-UNRAISED-F","0","1","1","0.999871968731629","1",""
"abdal-RAISER","abdal-RAISER-UNRAISED-B","0","","","0.000128031268370576","1",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-F","0","1","1","0.999975803905248","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-B","0","","","2.41960947519049e-05","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-F","0","1","1","0.999975803905248","",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-B","3","","","2.41960947519049e-05","",""
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-F","0","1","1","0.999968393860686","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-B","0","","","3.16061393136335e-05","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-F","0","1","1","0.999968393860686","",""
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-B","6","","","3.16061393136335e-05","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-F","0","1","","5.60979121352444e-05","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-B","0","","1","0.999943902087865","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-F","6","","","5.60979121352444e-05","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-B","0","1","1","0.999943902087865","",""
"abdulla-NON_RAISER","abdulla-NON_RAISER-RAISED-F","0","1","1","0.976925163357618","","1"
"abdulla-NON_RAISER","abdulla-NON_RAISER-RAISED-B","0","","","0.0230748366423823","","1"
"abdulla-NON_RAISER","abdulla-NON_RAISER-UNRAISED-F","0","1","1","0.976925163357618","",""
"abdulla-NON_RAISER","abdulla-NON_RAISER-UNRAISED-B","2","","","0.0230748366423823","",""
"abdulla-RAISER","abdulla-RAISER-RAISED-F","0","1","1","0.976925163357618","","1"
"abdulla-RAISER","abdulla-RAISER-RAISED-B","2","","","0.0230748366423823","","1"
"abdulla-RAISER","abdulla-RAISER-UNRAISED-F","1","1","1","0.976925163357618","1",""
"abdulla-RAISER","abdulla-RAISER-UNRAISED-B","26","","","0.0230748366423823","1",""
"abdullah-NON_RAISER","abdullah-NON_RAISER-RAISED-F","0","1","1","0.999976681821458","","1"
"abdullah-NON_RAISER","abdullah-NON_RAISER-RAISED-B","0","","","2.33181785421754e-05","","1"
"abdullah-NON_RAISER","abdullah-NON_RAISER-UNRAISED-F","0","1","1","0.999976681821458","",""
"abdullah-NON_RAISER","abdullah-NON_RAISER-UNRAISED-B","4","","","2.33181785421754e-05","",""
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-RAISED-F","0","1","1","0.999987949762799","","1"
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-RAISED-B","0","","","1.20502372005227e-05","","1"
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-UNRAISED-F","0","1","1","0.999987949762799","",""
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-UNRAISED-B","5","","","1.20502372005227e-05","",""
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-RAISED-F","0","1","","0.177229780439988","","1"
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-RAISED-B","0","","1","0.822770219560012","","1"
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-UNRAISED-F","3","","","0.177229780439988","",""
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-UNRAISED-B","1","1","1","0.822770219560012","",""
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-RAISED-F","0","1","1","0.888402321513447","","1"
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-RAISED-B","0","","","0.111597678486553","","1"
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-UNRAISED-F","2","1","1","0.888402321513447","",""
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-UNRAISED-B","13","","","0.111597678486553","",""
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-RAISED-F","0","1","1","0.999981959032854","","1"
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-RAISED-B","0","","","1.80409671463044e-05","","1"
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-UNRAISED-F","0","1","1","0.999981959032854","",""
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-UNRAISED-B","4","","","1.80409671463044e-05","",""
"abduweli-NON_RAISER","abduweli-NON_RAISER-RAISED-F","0","1","","4.07792193164466e-05","","1"
"abduweli-NON_RAISER","abduweli-NON_RAISER-RAISED-B","0","","1","0.999959220780684","","1"
"abduweli-NON_RAISER","abduweli-NON_RAISER-UNRAISED-F","11","","","4.07792193164466e-05","",""
"abduweli-NON_RAISER","abduweli-NON_RAISER-UNRAISED-B","0","1","1","0.999959220780684","",""
"abide-RAISER","abide-RAISER-RAISED-F","65","1","","8.33245233324173e-05","","1"
"abide-RAISER","abide-RAISER-RAISED-B","0","","1","0.999916675476668","","1"
"abide-RAISER","abide-RAISER-UNRAISED-F","0","","","8.33245233324173e-05","1",""
"abide-RAISER","abide-RAISER-UNRAISED-B","0","1","1","0.999916675476668","1",""
"ablet-NON_RAISER","ablet-NON_RAISER-RAISED-F","0","1","","4.43681768377516e-05","","1"
"ablet-NON_RAISER","ablet-NON_RAISER-RAISED-B","0","","1","0.999955631823162","","1"
"ablet-NON_RAISER","ablet-NON_RAISER-UNRAISED-F","2","","","4.43681768377516e-05","",""
"ablet-NON_RAISER","ablet-NON_RAISER-UNRAISED-B","0","1","1","0.999955631823162","",""
