"Input","Output","Frequency","HarmonicUniformity","*Unraised","ID"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-F","0","1.29921451125234e-05","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-B","0","0.999987007854887","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-F","19","1.29921451125234e-05","",""
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-B","0","0.999987007854887","",""
"a'ile-RAISER","a'ile-RAISER-RAISED-F","2603","1.29921451125234e-05","","1"
"a'ile-RAISER","a'ile-RAISER-RAISED-B","0","0.999987007854887","","1"
"a'ile-RAISER","a'ile-RAISER-UNRAISED-F","31","1.29921451125234e-05","1",""
"a'ile-RAISER","a'ile-RAISER-UNRAISED-B","0","0.999987007854887","1",""
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-F","0","0.999989455651997","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-B","0","1.05443480032941e-05","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-F","0","0.999989455651997","",""
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-B","18","1.05443480032941e-05","",""
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-F","0","0.999885009039055","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-B","0","0.000114990960945027","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-F","0","0.999885009039055","",""
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-B","3","0.000114990960945027","",""
"abdal-RAISER","abdal-RAISER-RAISED-F","0","0.999885009039055","","1"
"abdal-RAISER","abdal-RAISER-RAISED-B","1","0.000114990960945027","","1"
"abdal-RAISER","abdal-RAISER-UNRAISED-F","0","0.999885009039055","1",""
"abdal-RAISER","abdal-RAISER-UNRAISED-B","0","0.000114990960945027","1",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-F","0","0.999979217723946","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-B","0","2.07822760539544e-05","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-F","0","0.999979217723946","",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-B","1","2.07822760539544e-05","",""
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-F","0","0.999972674345263","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-B","0","2.73256547368428e-05","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-F","0","0.999972674345263","",""
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-B","6","2.73256547368428e-05","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-F","0","5.10083952076238e-05","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-B","0","0.999948991604792","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-F","7","5.10083952076238e-05","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-B","0","0.999948991604792","",""
"abdulla-RAISER","abdulla-RAISER-RAISED-F","0","0.976584155954182","","1"
"abdulla-RAISER","abdulla-RAISER-RAISED-B","1","0.0234158440458183","","1"
"abdulla-RAISER","abdulla-RAISER-UNRAISED-F","1","0.976584155954182","1",""
"abdulla-RAISER","abdulla-RAISER-UNRAISED-B","29","0.0234158440458183","1",""
"abdullah-NON_RAISER","abdullah-NON_RAISER-RAISED-F","0","0.99998000414945","","1"
"abdullah-NON_RAISER","abdullah-NON_RAISER-RAISED-B","0","1.99958505502362e-05","","1"
"abdullah-NON_RAISER","abdullah-NON_RAISER-UNRAISED-F","0","0.99998000414945","",""
"abdullah-NON_RAISER","abdullah-NON_RAISER-UNRAISED-B","3","1.99958505502362e-05","",""
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-RAISED-F","0","0.999989859695564","","1"
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-RAISED-B","0","1.01403044356907e-05","","1"
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-UNRAISED-F","0","0.999989859695564","",""
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-UNRAISED-B","4","1.01403044356907e-05","",""
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-RAISED-F","0","0.180647460500629","","1"
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-RAISED-B","0","0.819352539499371","","1"
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-UNRAISED-F","3","0.180647460500629","",""
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-UNRAISED-B","1","0.819352539499371","",""
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-RAISED-F","0","0.821999501511691","","1"
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-RAISED-B","0","0.178000498488309","","1"
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-UNRAISED-F","3","0.821999501511691","",""
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-UNRAISED-B","12","0.178000498488309","",""
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-RAISED-F","0","0.999984650348721","","1"
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-RAISED-B","0","1.53496512785845e-05","","1"
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-UNRAISED-F","0","0.999984650348721","",""
"abduréshit-NON_RAISER","abduréshit-NON_RAISER-UNRAISED-B","4","1.53496512785845e-05","",""
"abduweli-NON_RAISER","abduweli-NON_RAISER-RAISED-F","0","3.64465314362382e-05","","1"
"abduweli-NON_RAISER","abduweli-NON_RAISER-RAISED-B","0","0.999963553468564","","1"
"abduweli-NON_RAISER","abduweli-NON_RAISER-UNRAISED-F","12","3.64465314362382e-05","",""
"abduweli-NON_RAISER","abduweli-NON_RAISER-UNRAISED-B","0","0.999963553468564","",""
"abide-RAISER","abide-RAISER-RAISED-F","72","6.99518433493339e-05","","1"
"abide-RAISER","abide-RAISER-RAISED-B","0","0.999930048156651","","1"
