"Input","Output","Frequency","HarmonicUniformity"
"a'ile","a'ile-RAISE-F","2898","0.994500646430251"
"a'ile","a'ile-RAISE-B","0","0.0054993535697485"
"abdal","abdal-RAISE-F","0","0.0221699450659805"
"abdal","abdal-RAISE-B","1","0.97783005493402"
"abdulla","abdulla-RAISE-F","0","0.00159601459763936"
"abdulla","abdulla-RAISE-B","2","0.998403985402361"
"abide","abide-RAISE-F","79","0.977452522728227"
"abide","abide-RAISE-B","0","0.0225474772717728"
"abzas","abzas-RAISE-F","0","0.00969937451543634"
"abzas","abzas-RAISE-B","1","0.990300625484564"
"acha","acha-RAISE-F","0","0.00670883772190634"
"acha","acha-RAISE-B","7","0.993291162278094"
"achal","achal-RAISE-F","0","0.0135177833433423"
"achal","achal-RAISE-B","3","0.986482216656658"
"achquche","achquche-RAISE-F","2","0.752265648420003"
"achquche","achquche-RAISE-B","21","0.247734351579997"
"adalet","adalet-RAISE-F","16","0.998366888800976"
"adalet","adalet-RAISE-B","0","0.00163311119902431"
"adawet","adawet-RAISE-F","1","0.99267281752886"
"adawet","adawet-RAISE-B","0","0.00732718247113948"
"addiylash","addiylash-RAISE-F","0","0.0545495623606617"
"addiylash","addiylash-RAISE-B","1","0.945450437639338"
"adet","adet-RAISE-F","128","0.997698009746753"
"adet","adet-RAISE-B","1","0.00230199025324715"
"aghriqxana","aghriqxana-RAISE-F","0","0.00238273056467186"
"aghriqxana","aghriqxana-RAISE-B","9","0.997617269435328"
"aha","aha-RAISE-F","1","0.0593165454952753"
"aha","aha-RAISE-B","0","0.940683454504725"
"ahale","ahale-RAISE-F","1972","0.986786479234626"
"ahale","ahale-RAISE-B","535","0.0132135207653737"
"ahanet","ahanet-RAISE-F","4","0.991363561248587"
"ahanet","ahanet-RAISE-B","0","0.00863643875141326"
"ajizla","ajizla-RAISE-F","0","0.0349813089051942"
"ajizla","ajizla-RAISE-B","9","0.965018691094806"
"ajizlash","ajizlash-RAISE-F","0","0.0113702636192134"
"ajizlash","ajizlash-RAISE-B","27","0.988629736380787"
"ajizlat","ajizlat-RAISE-F","0","0.0157677354518035"
"ajizlat","ajizlat-RAISE-B","27","0.984232264548196"
"ajrash","ajrash-RAISE-F","0","0.0239209751472543"
"ajrash","ajrash-RAISE-B","11","0.976079024852746"
"ajrat","ajrat-RAISE-F","0","0.007767740745945"
"ajrat","ajrat-RAISE-B","27","0.992232259254055"
"akadémiye","akadémiye-RAISE-F","105","0.99411331354313"
"akadémiye","akadémiye-RAISE-B","0","0.00588668645686981"
"aksi'oma","aksi'oma-RAISE-F","0","0.071145441484264"
"aksi'oma","aksi'oma-RAISE-B","3","0.928854558515736"
"aksioma","aksioma-RAISE-F","0","0.0422553315779278"
"aksioma","aksioma-RAISE-B","1","0.957744668422072"
"akula","akula-RAISE-F","0","0.0422553315779278"
"akula","akula-RAISE-B","1","0.957744668422072"
"ala","ala-RAISE-F","2","0.0259929357102721"
"ala","ala-RAISE-B","23","0.974007064289728"
"alahide","alahide-RAISE-F","319","0.939804342053487"
"alahide","alahide-RAISE-B","0","0.060195657946513"
"albaniye","albaniye-RAISE-F","19","0.979597431142169"
"albaniye","albaniye-RAISE-B","0","0.0204025688578313"
"alda","alda-RAISE-F","2","0.00456175022481853"
