"Input","Output","Frequency","HarmonicUniformity"
"a'ile","a'ile-RAISE-F","2898","0.0050880378602118"
"a'ile","a'ile-RAISE-B","0","0.994911962139788"
"abdal","abdal-RAISE-F","0","0.964132960114351"
"abdal","abdal-RAISE-B","1","0.0358670398856485"
"abdulla","abdulla-RAISE-F","0","0.998592868552405"
"abdulla","abdulla-RAISE-B","2","0.00140713144759452"
"abide","abide-RAISE-F","79","0.0243254148421837"
"abide","abide-RAISE-B","0","0.975674585157816"
"abzas","abzas-RAISE-F","0","0.9827529366098"
"abzas","abzas-RAISE-B","1","0.0172470633902002"
"acha","acha-RAISE-F","0","0.992440983320991"
"acha","acha-RAISE-B","7","0.0075590166790086"
"achal","achal-RAISE-F","0","0.977249937797367"
"achal","achal-RAISE-B","3","0.0227500622026332"
"achquche","achquche-RAISE-F","2","0.297731935171898"
"achquche","achquche-RAISE-B","21","0.702268064828102"
"adalet","adalet-RAISE-F","16","0.0014197145298262"
"adalet","adalet-RAISE-B","0","0.998580285470174"
"adawet","adawet-RAISE-F","1","0.0103389019092124"
"adawet","adawet-RAISE-B","0","0.989661098090788"
"addiylash","addiylash-RAISE-F","0","0.941810951830639"
"addiylash","addiylash-RAISE-B","1","0.0581890481693607"
"adet","adet-RAISE-F","128","0.0018563124675714"
"adet","adet-RAISE-B","1","0.998143687532429"
"aghriqxana","aghriqxana-RAISE-F","0","0.997540039004028"
"aghriqxana","aghriqxana-RAISE-B","9","0.00245996099597245"
"aha","aha-RAISE-F","1","0.917945292976182"
"aha","aha-RAISE-B","0","0.0820547070238183"
"ahale","ahale-RAISE-F","1972","0.0138519423691145"
"ahale","ahale-RAISE-B","535","0.986148057630885"
"ahanet","ahanet-RAISE-F","4","0.0135668619995661"
"ahanet","ahanet-RAISE-B","0","0.986433138000434"
"ajizla","ajizla-RAISE-F","0","0.973915547450958"
"ajizla","ajizla-RAISE-B","9","0.0260844525490425"
"ajizlash","ajizlash-RAISE-F","0","0.988965196352974"
"ajizlash","ajizlash-RAISE-B","27","0.0110348036470262"
"ajizlat","ajizlat-RAISE-F","0","0.985712206694904"
"ajizlat","ajizlat-RAISE-B","27","0.0142877933050962"
"ajrash","ajrash-RAISE-F","0","0.979757366194004"
"ajrash","ajrash-RAISE-B","11","0.0202426338059963"
"ajrat","ajrat-RAISE-F","0","0.991860406328949"
"ajrat","ajrat-RAISE-B","27","0.0081395936710511"
"akadémiye","akadémiye-RAISE-F","105","0.00544630287747083"
"akadémiye","akadémiye-RAISE-B","0","0.994553697122529"
"aksi'oma","aksi'oma-RAISE-F","0","0.933483184684198"
"aksi'oma","aksi'oma-RAISE-B","3","0.0665168153158022"
"aksioma","aksioma-RAISE-F","0","0.936699469984195"
"aksioma","aksioma-RAISE-B","1","0.0633005300158049"
"akula","akula-RAISE-F","0","0.936699469984195"
"akula","akula-RAISE-B","1","0.0633005300158049"
"ala","ala-RAISE-F","2","0.97804381695928"
"ala","ala-RAISE-B","23","0.0219561830407201"
"alahide","alahide-RAISE-F","319","0.0578310108411451"
"alahide","alahide-RAISE-B","0","0.942168989158855"
"albaniye","albaniye-RAISE-F","19","0.0281964825667127"
"albaniye","albaniye-RAISE-B","0","0.971803517433287"
"alda","alda-RAISE-F","2","0.994618789967293"
"alda","alda-RAISE-B","50","0.00538121003270742"
"aldam","aldam-RAISE-F","0","0.979373817752184"
"aldam","aldam-RAISE-B","3","0.0206261822478156"
"aldan","aldan-RAISE-F","0","0.987657137157769"
"aldan","aldan-RAISE-B","5","0.0123428628422312"
"aldira","aldira-RAISE-F","0","0.98876223280254"
"aldira","aldira-RAISE-B","83","0.0112377671974602"
"alicha","alicha-RAISE-F","0","0.972247746379106"
"alicha","alicha-RAISE-B","11","0.027752253620894"
"aljiriye","aljiriye-RAISE-F","6","0.0260877709210998"
"aljiriye","aljiriye-RAISE-B","0","0.9739122290789"
"allinéme","allinéme-RAISE-F","4","0.283801280761115"
"allinéme","allinéme-RAISE-B","0","0.716198719238885"
"alma","alma-RAISE-F","0","0.987658735285432"
"alma","alma-RAISE-B","124","0.0123412647145681"
"almash","almash-RAISE-F","0","0.991077660583447"
"almash","almash-RAISE-B","25","0.0089223394165534"
"alte","alte-RAISE-F","2","0.122831973094095"
"alte","alte-RAISE-B","0","0.877168026905905"
"amal","amal-RAISE-F","0","0.998042932815183"
"amal","amal-RAISE-B","24","0.00195706718481703"
"ambar","ambar-RAISE-F","0.999999999999998","0.994584349393674"
"ambar","ambar-RAISE-B","142","0.00541565060632598"
"amet","amet-RAISE-F","3","0.00594091483287579"
"amet","amet-RAISE-B","0","0.994059085167124"
"amma","amma-RAISE-F","0","0.998886742510608"
"amma","amma-RAISE-B","599","0.00111325748939184"
"ammiwilash","ammiwilash-RAISE-F","0","0.917667750893689"
"ammiwilash","ammiwilash-RAISE-B","1","0.0823322491063109"
"ana","ana-RAISE-F","2.99999999999991","0.999294487941634"
"ana","ana-RAISE-B","2138","0.000705512058365998"
"anche","anche-RAISE-F","2","0.347403662332999"
"anche","anche-RAISE-B","0","0.652596337667001"
"angla","angla-RAISE-F","0","0.998530723567858"
"angla","angla-RAISE-B","487","0.00146927643214245"
"anglat","anglat-RAISE-F","0","0.994277328025392"
"anglat","anglat-RAISE-B","79","0.00572267197460818"
"antanta","antanta-RAISE-F","0","0.952164218504381"
"antanta","antanta-RAISE-B","1","0.0478357814956186"
"anténna","anténna-RAISE-F","0","0.933701139291392"
"anténna","anténna-RAISE-B","1","0.0662988607086077"
"apa","apa-RAISE-F","1","0.997953448160529"
"apa","apa-RAISE-B","44","0.00204655183947089"
"apar","apar-RAISE-F","0","0.99393135117736"
"apar","apar-RAISE-B","69","0.00606864882263991"
"apet","apet-RAISE-F","177","0.00349969021275034"
"apet","apet-RAISE-B","0","0.99650030978725"
"aptomatlash","aptomatlash-RAISE-F","0","0.950925263694781"
"aptomatlash","aptomatlash-RAISE-B","1","0.0490747363052187"
"aqilane","aqilane-RAISE-F","0","0.0621186484699806"
"aqilane","aqilane-RAISE-B","3","0.937881351530019"
"aral","aral-RAISE-F","0","0.99795581805236"
"aral","aral-RAISE-B","284","0.00204418194764022"
"aramsizlan","aramsizlan-RAISE-F","0","0.956098388121112"
"aramsizlan","aramsizlan-RAISE-B","1","0.0439016118788884"
"archa","archa-RAISE-F","0","0.988122794984519"
"archa","archa-RAISE-B","24","0.011877205015481"
"arghamcha","arghamcha-RAISE-F","0","0.984002888930798"
"arghamcha","arghamcha-RAISE-B","19","0.0159971110692019"
"arida","arida-RAISE-F","0","0.906561882652986"
"arida","arida-RAISE-B","1","0.0934381173470136"
"arila","arila-RAISE-F","0","0.979743164622136"
"arila","arila-RAISE-B","4","0.020256835377864"
"arilash","arilash-RAISE-F","0","0.996498094553398"
"arilash","arilash-RAISE-B","196","0.00350190544660234"
"arilashma","arilashma-RAISE-F","0","0.971101247560181"
"arilashma","arilashma-RAISE-B","5","0.0288987524398189"
"arishang","arishang-RAISE-F","0","0.955421230957535"
"arishang","arishang-RAISE-B","1","0.044578769042465"
"arman","arman-RAISE-F","0","0.998002288553285"
"arman","arman-RAISE-B","107","0.0019977114467149"
"armiye","armiye-RAISE-F","252","0.00307026509165754"
"armiye","armiye-RAISE-B","0","0.996929734908342"
"arpa","arpa-RAISE-F","0","0.987320783505708"
"arpa","arpa-RAISE-B","3","0.0126792164942919"
"asaret","asaret-RAISE-F","34","0.0129243121363976"
"asaret","asaret-RAISE-B","0","0.987075687863602"
"ashkarila","ashkarila-RAISE-F","0","0.998239672564186"
"ashkarila","ashkarila-RAISE-B","280","0.001760327435814"
"ashna","ashna-RAISE-F","0","0.976881579756625"
"ashna","ashna-RAISE-B","2","0.0231184202433754"
"ashpez","ashpez-RAISE-F","0","0.0107276503148011"
"ashpez","ashpez-RAISE-B","1","0.989272349685199"
"ashqazan","ashqazan-RAISE-F","0","0.985015671819375"
"ashqazan","ashqazan-RAISE-B","7","0.0149843281806247"
"ashxana","ashxana-RAISE-F","0","0.994859495594033"
"ashxana","ashxana-RAISE-B","271","0.00514050440596736"
"asman","asman-RAISE-F","0","0.997849461753357"
"asman","asman-RAISE-B","143","0.00215053824664291"
"aspirantura","aspirantura-RAISE-F","0","0.988199292991895"
"aspirantura","aspirantura-RAISE-B","119","0.0118007070081046"
"asra","asra-RAISE-F","0","0.987117509475905"
"asra","asra-RAISE-B","10","0.0128824905240948"
"asrash","asrash-RAISE-F","0","0.961458651329353"
"asrash","asrash-RAISE-B","3","0.0385413486706474"
"asta","asta-RAISE-F","0","0.968819067270893"
"asta","asta-RAISE-B","15","0.0311809327291074"
"astila","astila-RAISE-F","0","0.970403785898109"
"astila","astila-RAISE-B","5","0.0295962141018914"
"ata","ata-RAISE-F","0.999999999999999","0.998555907682548"
"ata","ata-RAISE-B","501","0.00144409231745213"
"atla","atla-RAISE-F","0","0.988616503220974"
"atla","atla-RAISE-B","17","0.0113834967790258"
"atmosféra","atmosféra-RAISE-F","0","0.978678902776362"
"atmosféra","atmosféra-RAISE-B","11","0.0213210972236376"
"aware","aware-RAISE-F","2","0.283801280761115"
"aware","aware-RAISE-B","1","0.716198719238885"
"awatlash","awatlash-RAISE-F","0","0.948499017166134"
"awatlash","awatlash-RAISE-B","2","0.0515009828338664"
"awayla","awayla-RAISE-F","0","0.937844887374936"
"awayla","awayla-RAISE-B","1","0.0621551126250636"
"awi'atsiye","awi'atsiye-RAISE-F","2","0.117020699015408"
"awi'atsiye","awi'atsiye-RAISE-B","0","0.882979300984592"
"awstraliye","awstraliye-RAISE-F","110","0.00159397880114163"
"awstraliye","awstraliye-RAISE-B","0","0.998406021198858"
"axiret","axiret-RAISE-F","2","0.0049251772170748"
"axiret","axiret-RAISE-B","0","0.995074822782925"
"axirlash","axirlash-RAISE-F","0","0.995741908906606"
"axirlash","axirlash-RAISE-B","67","0.00425809109339403"
"axsham","axsham-RAISE-F","0","0.994389530254462"
"axsham","axsham-RAISE-B","3","0.00561046974553836"
"aya","aya-RAISE-F","0","0.990302344641992"
"aya","aya-RAISE-B","160","0.00969765535800826"
"aydinglash","aydinglash-RAISE-F","0","0.99164532649854"
"aydinglash","aydinglash-RAISE-B","13","0.00835467350145969"
"ayem","ayem-RAISE-F","1","0.0212087021526991"
"ayem","ayem-RAISE-B","0","0.978791297847301"
"ayet","ayet-RAISE-F","17","0.00346257990041446"
"ayet","ayet-RAISE-B","0","0.996537420099586"
"aylan","aylan-RAISE-F","0","0.998488164314499"
"aylan","aylan-RAISE-B","86","0.00151183568550139"
"ayra","ayra-RAISE-F","0","0.991319175532576"
"ayra","ayra-RAISE-B","149","0.00868082446742435"
"ayriwet","ayriwet-RAISE-F","3","0.0201038917545634"
"ayriwet","ayriwet-RAISE-B","0","0.979896108245437"
"aywan","aywan-RAISE-F","0","0.980250778709307"
"aywan","aywan-RAISE-B","2","0.0197492212906933"
"aza","aza-RAISE-F","0","0.942019419101062"
"aza","aza-RAISE-B","1","0.0579805808989382"
"azabla","azabla-RAISE-F","0","0.975610242459097"
"azabla","azabla-RAISE-B","15","0.0243897575409028"
"azade","azade-RAISE-F","18","0.0776194685033151"
"azade","azade-RAISE-B","0","0.922380531496685"
"azat","azat-RAISE-F","0","0.993841728545656"
