"Input","Output","Frequency","VAgreeSurface","HarmonicUniformity","*Unraised","ID"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-F","0","1","1.28443195328258e-05","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-B","0","","0.999987155680467","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-F","16","","1.28443195328258e-05","",""
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-B","0","1","0.999987155680467","",""
"a'ile-RAISER","a'ile-RAISER-RAISED-F","2602","1","1.28443195328258e-05","","1"
"a'ile-RAISER","a'ile-RAISER-RAISED-B","0","","0.999987155680467","","1"
"a'ile-RAISER","a'ile-RAISER-UNRAISED-F","30","","1.28443195328258e-05","1",""
"a'ile-RAISER","a'ile-RAISER-UNRAISED-B","0","1","0.999987155680467","1",""
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-F","0","1","0.999989361377913","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-B","0","","1.06386220870558e-05","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-F","0","1","0.999989361377913","",""
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-B","17","","1.06386220870558e-05","",""
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-F","0","1","0.999878468096489","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-B","0","","0.000121531903511052","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-F","0","1","0.999878468096489","",""
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-B","2","","0.000121531903511052","",""
"abdal-RAISER","abdal-RAISER-RAISED-F","0","1","0.999878468096489","","1"
"abdal-RAISER","abdal-RAISER-RAISED-B","1","","0.000121531903511052","","1"
"abdal-RAISER","abdal-RAISER-UNRAISED-F","0","1","0.999878468096489","1",""
"abdal-RAISER","abdal-RAISER-UNRAISED-B","0","","0.000121531903511052","1",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-F","0","1","0.999978761638379","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-B","0","","2.12383616212675e-05","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-F","0","1","0.999978761638379","",""
