"Input","Output","Frequency","VAgreeSurface","HarmonicUniformity","*Unraised","ID"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-F","0","1","0.00482778907926826","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-B","0","","0.995172210920732","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-F","20","","0.00482778907926826","",""
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-B","0","1","0.995172210920732","",""
"a'ile-RAISER","a'ile-RAISER-RAISED-F","2598","1","0.00482778907926826","","1"
"a'ile-RAISER","a'ile-RAISER-RAISED-B","0","","0.995172210920732","","1"
"a'ile-RAISER","a'ile-RAISER-UNRAISED-F","35","","0.00482778907926826","1",""
"a'ile-RAISER","a'ile-RAISER-UNRAISED-B","0","1","0.995172210920732","1",""
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-F","0","1","0.998540812412947","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-B","0","","0.00145918758705343","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-F","0","1","0.998540812412947","",""
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-B","17","","0.00145918758705343","",""
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-F","0","1","0.986352776781568","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-B","0","","0.0136472232184319","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-F","0","1","0.986352776781568","",""
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-B","3","","0.0136472232184319","",""
"abdal-RAISER","abdal-RAISER-RAISED-F","0","1","0.986352776781568","","1"
"abdal-RAISER","abdal-RAISER-RAISED-B","1","","0.0136472232184319","","1"
"abdal-RAISER","abdal-RAISER-UNRAISED-F","0","1","0.986352776781568","1",""
"abdal-RAISER","abdal-RAISER-UNRAISED-B","0","","0.0136472232184319","1",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-F","0","1","0.997480571550519","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-B","0","","0.00251942844948094","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-F","0","1","0.997480571550519","",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-B","3","","0.00251942844948094","",""
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-F","0","1","0.996843822003307","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-B","0","","0.00315617799669277","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-F","0","1","0.996843822003307","",""
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-B","5","","0.00315617799669277","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-F","0","1","0.00415402465309168","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-B","0","","0.995845975346908","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-F","6","","0.00415402465309168","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-B","0","1","0.995845975346908","",""
"abdulla-NON_RAISER","abdulla-NON_RAISER-RAISED-F","0","1","0.999091614790162","","1"
"abdulla-NON_RAISER","abdulla-NON_RAISER-RAISED-B","0","","0.000908385209838047","","1"
"abdulla-NON_RAISER","abdulla-NON_RAISER-UNRAISED-F","0","1","0.999091614790162","",""
