"Input","Output","Frequency","VAgreeSurface","HarmonicUniformity","*Unraised","ID"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-F","0","1","1.24557582787241e-05","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-B","0","","0.999987544241721","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-F","19","","1.24557582787241e-05","",""
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-B","0","1","0.999987544241721","",""
"a'ile-RAISER","a'ile-RAISER-RAISED-F","2602","1","1.24557582787241e-05","","1"
"a'ile-RAISER","a'ile-RAISER-RAISED-B","0","","0.999987544241721","","1"
"a'ile-RAISER","a'ile-RAISER-UNRAISED-F","36","","1.24557582787241e-05","1",""
"a'ile-RAISER","a'ile-RAISER-UNRAISED-B","0","1","0.999987544241721","1",""
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-F","0","1","0.999990668132931","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-B","0","","9.33186706864042e-06","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-F","0","1","0.999990668132931","",""
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-B","19","","9.33186706864042e-06","",""
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-F","0","1","0.999890288930393","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-B","0","","0.000109711069606888","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-F","0","1","0.999890288930393","",""
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-B","2","","0.000109711069606888","",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-F","0","1","0.999981168395446","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-B","0","","1.88316045536263e-05","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-F","0","1","0.999981168395446","",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-B","3","","1.88316045536263e-05","",""
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-F","0","1","0.999974968001493","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-B","0","","2.5031998506897e-05","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-F","0","1","0.999974968001493","",""
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-B","7","","2.5031998506897e-05","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-F","0","1","4.51747559269947e-05","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-B","0","","0.999954825244073","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-F","7","","4.51747559269947e-05","",""
