model_name,mu,sigma,folds,mean_ll_train,mean_ll_test,sd_ll_train,sd_ll_test
lexical_input_surface,0,1,10,-142855.87113720403,-15513.798985050207,135.19741101455193,273.7920087577038
lexical_input_surface,0,2,10,-142849.54033639884,-15513.111285870556,135.34356239128124,274.01243746249116
lexical_input_surface,0,5,10,-142848.8749475278,-15513.046375618238,135.3669705855852,274.1037387873709
lexical_input_surface,0,10,10,-142848.85582174212,-15513.046703486563,135.36828943633634,274.1172794082295
lexical_input_surface,0,20,10,-142848.85462294944,-15513.047315607459,135.36837211039676,274.1216693840025
lexical_input_surface,0,50,10,-142848.85460111144,-15513.047428497543,135.36836078722985,274.12266007657837
lexical_input_surface,0,100,10,-142848.8546087436,-15513.047435692344,135.36835853051187,274.1228112910296
lexical_input_surface,0,200,10,-142848.85461102845,-15513.047443193926,135.36835793109572,274.12284453714
lexical_input_surface,0,500,10,-142848.85461169743,-15513.047445457598,135.36835776189938,274.1228536999077
5
