"","","","*Unraised","HarmonizeBack","HarmonizeFront"
"","","","*Unraised","HarmonizeBack","HarmonizeFront"
"a'ile","a'ile-F","0","1","",""
"","a'ile-B","0","1","","1"
"","a'ile-RAISE-F","2898","","",""
"","a'ile-RAISE-B","0","","","1"
"abdal","abdal-F","0","1","1",""
"","abdal-B","0","1","",""
"","abdal-RAISE-F","0","","1",""
"","abdal-RAISE-B","1","","",""
"abdulla","abdulla-F","0","1","1",""
"","abdulla-B","0","1","",""
"","abdulla-RAISE-F","0","","1",""
"","abdulla-RAISE-B","2","","",""
"abide","abide-F","0","1","",""
"","abide-B","0","1","","1"
"","abide-RAISE-F","79","","",""
"","abide-RAISE-B","0","","","1"
"abzas","abzas-F","0","1","1",""
"","abzas-B","0","1","",""
"","abzas-RAISE-F","0","","1",""
"","abzas-RAISE-B","1","","",""
"acha","acha-F","0","1","1",""
"","acha-B","0","1","",""
"","acha-RAISE-F","0","","1",""
"","acha-RAISE-B","7","","",""
"achal","achal-F","0","1","1",""
"","achal-B","0","1","",""
"","achal-RAISE-F","0","","1",""
"","achal-RAISE-B","3","","",""
"achquche","achquche-F","0","1","",""
"","achquche-B","0","1","","1"
"","achquche-RAISE-F","2","","",""
"","achquche-RAISE-B","21","","","1"
"adalet","adalet-F","0","1","",""
"","adalet-B","0","1","","1"
"","adalet-RAISE-F","16","","",""
"","adalet-RAISE-B","0","","","1"
"adawet","adawet-F","0","1","",""
"","adawet-B","0","1","","1"
"","adawet-RAISE-F","1","","",""
"","adawet-RAISE-B","0","","","1"
"addiylash","addiylash-F","0","1","1",""
"","addiylash-B","0","1","",""
"","addiylash-RAISE-F","0","","1",""
"","addiylash-RAISE-B","1","","",""
"adet","adet-F","0","1","",""
"","adet-B","0","1","","1"
"","adet-RAISE-F","128","","",""
"","adet-RAISE-B","1","","","1"
"aghriqxana","aghriqxana-F","0","1","1",""
"","aghriqxana-B","0","1","",""
"","aghriqxana-RAISE-F","0","","1",""
"","aghriqxana-RAISE-B","9","","",""
"aha","aha-F","0","1","1",""
"","aha-B","0","1","",""
"","aha-RAISE-F","1","","1",""
"","aha-RAISE-B","0","","",""
"ahale","ahale-F","0","1","",""
"","ahale-B","0","1","","1"
"","ahale-RAISE-F","1972","","",""
"","ahale-RAISE-B","535","","","1"
"ahanet","ahanet-F","0","1","",""
"","ahanet-B","0","1","","1"
"","ahanet-RAISE-F","4","","",""
"","ahanet-RAISE-B","0","","","1"
"ajizla","ajizla-F","0","1","1",""
"","ajizla-B","0","1","",""
"","ajizla-RAISE-F","0","","1",""
"","ajizla-RAISE-B","9","","",""
"ajizlash","ajizlash-F","0","1","1",""
"","ajizlash-B","0","1","",""
"","ajizlash-RAISE-F","0","","1",""
"","ajizlash-RAISE-B","27","","",""
"ajizlat","ajizlat-F","0","1","1",""
"","ajizlat-B","0","1","",""
"","ajizlat-RAISE-F","0","","1",""
"","ajizlat-RAISE-B","27","","",""
"ajrash","ajrash-F","0","1","1",""
"","ajrash-B","0","1","",""
"","ajrash-RAISE-F","0","","1",""
"","ajrash-RAISE-B","11","","",""
"ajrat","ajrat-F","0","1","1",""
"","ajrat-B","0","1","",""
"","ajrat-RAISE-F","0","","1",""
"","ajrat-RAISE-B","27","","",""
"akadémiye","akadémiye-F","0","1","",""
"","akadémiye-B","0","1","","1"
"","akadémiye-RAISE-F","105","","",""
"","akadémiye-RAISE-B","0","","","1"
"aksi'oma","aksi'oma-F","0","1","1",""
"","aksi'oma-B","0","1","",""
"","aksi'oma-RAISE-F","0","","1",""
"","aksi'oma-RAISE-B","3","","",""
"aksioma","aksioma-F","0","1","1",""
"","aksioma-B","0","1","",""
"","aksioma-RAISE-F","0","","1",""
"","aksioma-RAISE-B","1","","",""
"akula","akula-F","0","1","1",""
"","akula-B","0","1","",""
"","akula-RAISE-F","0","","1",""
"","akula-RAISE-B","1","","",""
"ala","ala-F","0","1","1",""
"","ala-B","0","1","",""
"","ala-RAISE-F","2","","1",""
"","ala-RAISE-B","23","","",""
"alahide","alahide-F","0","1","",""
"","alahide-B","0","1","","1"
"","alahide-RAISE-F","319","","",""
"","alahide-RAISE-B","0","","","1"
"albaniye","albaniye-F","0","1","",""
"","albaniye-B","0","1","","1"
"","albaniye-RAISE-F","19","","",""
"","albaniye-RAISE-B","0","","","1"
"alda","alda-F","0","1","1",""
"","alda-B","0","1","",""
"","alda-RAISE-F","2","","1",""
"","alda-RAISE-B","50","","",""
"aldam","aldam-F","0","1","1",""
"","aldam-B","0","1","",""
"","aldam-RAISE-F","0","","1",""
"","aldam-RAISE-B","3","","",""
"aldan","aldan-F","0","1","1",""
"","aldan-B","0","1","",""
"","aldan-RAISE-F","0","","1",""
"","aldan-RAISE-B","5","","",""
"aldira","aldira-F","0","1","1",""
"","aldira-B","0","1","",""
"","aldira-RAISE-F","0","","1",""
"","aldira-RAISE-B","83","","",""
"alicha","alicha-F","0","1","1",""
"","alicha-B","0","1","",""
"","alicha-RAISE-F","0","","1",""
"","alicha-RAISE-B","11","","",""
"aljiriye","aljiriye-F","0","1","",""
"","aljiriye-B","0","1","","1"
"","aljiriye-RAISE-F","6","","",""
"","aljiriye-RAISE-B","0","","","1"
"allinéme","allinéme-F","0","1","",""
"","allinéme-B","0","1","","1"
"","allinéme-RAISE-F","4","","",""
"","allinéme-RAISE-B","0","","","1"
"alma","alma-F","0","1","1",""
"","alma-B","0","1","",""
"","alma-RAISE-F","0","","1",""
"","alma-RAISE-B","124","","",""
"almash","almash-F","0","1","1",""
"","almash-B","0","1","",""
"","almash-RAISE-F","0","","1",""
"","almash-RAISE-B","25","","",""
"alte","alte-F","0","1","",""
"","alte-B","0","1","","1"
