"","","","VAgree","HarmonizeBack","HarmonizeFront"
"","","","VAgree","HarmonizeBack","HarmonizeFront"
"a'ile","a'ile-RAISE-F","2898","1","",""
"","a'ile-RAISE-B","0","","","1"
"abdal","abdal-RAISE-F","0","1","1",""
"","abdal-RAISE-B","1","","",""
"abdulla","abdulla-RAISE-F","0","1","1",""
"","abdulla-RAISE-B","2","","",""
"abide","abide-RAISE-F","79","1","",""
"","abide-RAISE-B","0","","","1"
"abzas","abzas-RAISE-F","0","1","1",""
"","abzas-RAISE-B","1","","",""
"acha","acha-RAISE-F","0","1","1",""
"","acha-RAISE-B","7","","",""
"achal","achal-RAISE-F","0","1","1",""
"","achal-RAISE-B","3","","",""
"achquche","achquche-RAISE-F","2","1","",""
"","achquche-RAISE-B","21","","","1"
"adalet","adalet-RAISE-F","16","1","",""
"","adalet-RAISE-B","0","","","1"
"adawet","adawet-RAISE-F","1","1","",""
"","adawet-RAISE-B","0","","","1"
"addiylash","addiylash-RAISE-F","0","1","1",""
"","addiylash-RAISE-B","1","","",""
"adet","adet-RAISE-F","128","1","",""
"","adet-RAISE-B","1","","","1"
"aghriqxana","aghriqxana-RAISE-F","0","1","1",""
"","aghriqxana-RAISE-B","9","","",""
"aha","aha-RAISE-F","1","1","1",""
"","aha-RAISE-B","0","","",""
"ahale","ahale-RAISE-F","1972","1","",""
"","ahale-RAISE-B","535","","","1"
"ahanet","ahanet-RAISE-F","4","1","",""
"","ahanet-RAISE-B","0","","","1"
"ajizla","ajizla-RAISE-F","0","1","1",""
"","ajizla-RAISE-B","9","","",""
"ajizlash","ajizlash-RAISE-F","0","1","1",""
"","ajizlash-RAISE-B","27","","",""
"ajizlat","ajizlat-RAISE-F","0","1","1",""
"","ajizlat-RAISE-B","27","","",""
"ajrash","ajrash-RAISE-F","0","1","1",""
"","ajrash-RAISE-B","11","","",""
"ajrat","ajrat-RAISE-F","0","1","1",""
"","ajrat-RAISE-B","27","","",""
"akadémiye","akadémiye-RAISE-F","105","1","",""
"","akadémiye-RAISE-B","0","","","1"
"aksi'oma","aksi'oma-RAISE-F","0","1","1",""
"","aksi'oma-RAISE-B","3","","",""
"aksioma","aksioma-RAISE-F","0","1","1",""
"","aksioma-RAISE-B","1","","",""
"akula","akula-RAISE-F","0","1","1",""
"","akula-RAISE-B","1","","",""
"ala","ala-RAISE-F","2","1","1",""
"","ala-RAISE-B","23","","",""
"alahide","alahide-RAISE-F","319","1","",""
"","alahide-RAISE-B","0","","","1"
"albaniye","albaniye-RAISE-F","19","1","",""
"","albaniye-RAISE-B","0","","","1"
"alda","alda-RAISE-F","2","1","1",""
"","alda-RAISE-B","50","","",""
"aldam","aldam-RAISE-F","0","1","1",""
"","aldam-RAISE-B","3","","",""
"aldan","aldan-RAISE-F","0","1","1",""
"","aldan-RAISE-B","5","","",""
"aldira","aldira-RAISE-F","0","1","1",""
"","aldira-RAISE-B","83","","",""
"alicha","alicha-RAISE-F","0","1","1",""
"","alicha-RAISE-B","11","","",""
"aljiriye","aljiriye-RAISE-F","6","1","",""
"","aljiriye-RAISE-B","0","","","1"
"allinéme","allinéme-RAISE-F","4","1","",""
"","allinéme-RAISE-B","0","","","1"
"alma","alma-RAISE-F","0","1","1",""
"","alma-RAISE-B","124","","",""
"almash","almash-RAISE-F","0","1","1",""
"","almash-RAISE-B","25","","",""
